time,x,y,z,roll,pitch,yaw,vx,vy,vz,ax,ay,az
0.000000,120.000000,-85.000000,3000.000000,0.000000,0.000000,144.688787,-8.160245,5.780173,-199.749844,0.000000,0.000000,0.000000
0.020000,119.837448,-84.884859,2996.005009,0.772323,1.139209,144.752361,-8.127604,5.757053,-199.749544,1.632049,-1.156035,0.014953
0.040000,119.675549,-84.770180,2992.010036,1.469892,2.163832,144.814211,-8.094963,5.733932,-199.748666,1.632049,-1.156035,0.043927
0.060000,119.514302,-84.655964,2988.015091,2.100176,3.085276,144.874485,-8.062322,5.710811,-199.747217,1.632049,-1.156035,0.072447
0.080000,119.353709,-84.542210,2984.020187,2.669878,3.913779,144.933316,-8.029681,5.687691,-199.745201,1.632049,-1.156035,0.100805
0.100000,119.193768,-84.428919,2980.025335,3.185028,4.658556,144.990822,-7.997040,5.664570,-199.742621,1.632049,-1.156035,0.128996
0.120000,119.034480,-84.316090,2976.030545,3.651052,5.327896,145.047108,-7.964399,5.641449,-199.739481,1.632049,-1.156035,0.157020
0.140000,118.875845,-84.203723,2972.035830,4.072831,5.929261,145.102268,-7.931758,5.618329,-199.735783,1.632049,-1.156035,0.184879
0.160000,118.717862,-84.091819,2968.041199,4.454755,6.469364,145.156386,-7.899117,5.595208,-199.731532,1.632049,-1.156035,0.212574
0.180000,118.560533,-83.980377,2964.046665,4.800776,6.954247,145.209536,-7.866476,5.572087,-199.726729,1.632049,-1.156035,0.240105
0.200000,118.403856,-83.869398,2960.052237,5.114447,7.389346,145.261783,-7.833835,5.548966,-199.721380,1.632049,-1.156035,0.267474
0.220000,118.247832,-83.758881,2956.057927,5.398965,7.779554,145.313185,-7.801194,5.525846,-199.715486,1.632049,-1.156035,0.294681
0.240000,118.092461,-83.648827,2952.063746,5.657205,8.129271,145.363796,-7.768553,5.502725,-199.709052,1.632049,-1.156035,0.321727
0.260000,117.937743,-83.539235,2948.069705,5.891753,8.442459,145.413658,-7.735912,5.479604,-199.702080,1.632049,-1.156035,0.348612
0.280000,117.783678,-83.430105,2944.075813,6.104936,8.722682,145.462814,-7.703271,5.456484,-199.694573,1.632049,-1.156035,0.375339
0.300000,117.630265,-83.321438,2940.082082,6.298845,8.973148,145.511297,-7.670630,5.433363,-199.686535,1.632049,-1.156035,0.401908
0.320000,117.477505,-83.213233,2936.088523,6.475361,9.196743,145.559138,-7.637989,5.410242,-199.677968,1.632049,-1.156035,0.428319
0.340000,117.325398,-83.105490,2932.095146,6.636177,9.396063,145.606365,-7.605348,5.387122,-199.668877,1.632049,-1.156035,0.454573
0.360000,117.173944,-82.998210,2928.101960,6.782813,9.573447,145.652999,-7.572707,5.364001,-199.659263,1.632049,-1.156035,0.480672
0.380000,117.023143,-82.891393,2924.108978,6.916636,9.730997,145.699061,-7.540066,5.340880,-199.649131,1.632049,-1.156035,0.506616
0.400000,116.872994,-82.785038,2920.116208,7.038876,9.870606,145.744568,-7.507425,5.317760,-199.638483,1.632049,-1.156035,0.532406
0.420000,116.723499,-82.679145,2916.123662,7.150638,9.993976,145.789535,-7.474784,5.294639,-199.627322,1.632049,-1.156035,0.558043
0.440000,116.574656,-82.573714,2912.131349,7.252915,10.102641,145.833974,-7.442143,5.271518,-199.615651,1.632049,-1.156035,0.583527
0.460000,116.426466,-82.468746,2908.139279,7.346600,10.197981,145.877894,-7.409502,5.248397,-199.603474,1.632049,-1.156035,0.608859
0.480000,116.278928,-82.364241,2904.147463,7.432494,10.281237,145.921305,-7.376861,5.225277,-199.590793,1.632049,-1.156035,0.634041
0.500000,116.132044,-82.260198,2900.155911,7.511320,10.353526,145.964213,-7.344220,5.202156,-199.577612,1.632049,-1.156035,0.659073
0.520000,115.985812,-82.156617,2896.164632,7.583723,10.415854,146.006622,-7.311579,5.179035,-199.563933,1.632049,-1.156035,0.683956
0.540000,115.840234,-82.053499,2892.173637,7.650286,10.469128,146.048538,-7.278938,5.155915,-199.549759,1.632049,-1.156035,0.708691
0.560000,115.695308,-81.950843,2888.182935,7.711530,10.514163,146.089962,-7.246297,5.132794,-199.535093,1.632049,-1.156035,0.733278
0.580000,115.551035,-81.848649,2884.192536,7.767926,10.551693,146.130898,-7.213656,5.109673,-199.519939,1.632049,-1.156035,0.757718
0.600000,115.407414,-81.746918,2880.202450,7.819892,10.582380,146.171344,-7.181015,5.086553,-199.504299,1.632049,-1.156035,0.782012
0.620000,115.264447,-81.645650,2876.212687,7.867809,10.606818,146.211301,-7.148374,5.063432,-199.488176,1.632049,-1.156035,0.806161
0.640000,115.122132,-81.544843,2872.223255,7.911646,10.625031,146.250770,-7.115753,5.040325,-199.471572,1.631071,-1.155342,0.830166
0.660000,114.980461,-81.444493,2868.234166,7.944304,10.627169,146.289747,-7.083547,5.017512,-199.454492,1.610315,-1.140640,0.854027
0.680000,114.839426,-81.344593,2864.245427,7.966948,10.614908,146.328231,-7.051751,4.994990,-199.436937,1.589777,-1.126092,0.877746
0.700000,114.699018,-81.245138,2860.257049,7.980623,10.589754,146.366221,-7.020362,4.972756,-199.418910,1.569457,-1.111699,0.901322
0.720000,114.559231,-81.146122,2856.269040,7.986267,10.553063,146.403712,-6.989375,4.950807,-199.400415,1.549352,-1.097458,0.924757
0.740000,114.420055,-81.047539,2852.281411,7.984721,10.506052,146.440702,-6.958786,4.929140,-199.381454,1.529461,-1.083368,0.948052
0.760000,114.281483,-80.949384,2848.294171,7.976742,10.449818,146.477187,-6.928590,4.907751,-199.362030,1.509781,-1.069429,0.971207
0.780000,114.143508,-80.851651,2844.307328,7.963006,10.385345,146.513164,-6.898784,4.886639,-199.342146,1.490312,-1.055637,0.994223
0.800000,114.006121,-80.754335,2840.320892,7.944122,10.313520,146.548628,-6.869363,4.865799,-199.321804,1.471050,-1.041993,1.017100
0.820000,113.869314,-80.657431,2836.334872,7.920634,10.235137,146.583575,-6.840323,4.845229,-199.301007,1.451994,-1.028496,1.039841
0.840000,113.733081,-80.560932,2832.349276,7.893031,10.150914,146.618001,-6.811660,4.824926,-199.279758,1.433142,-1.015142,1.062444
0.860000,113.597413,-80.464835,2828.364115,7.861748,10.061494,146.651901,-6.783370,4.804887,-199.258060,1.414493,-1.001933,1.084911
0.880000,113.462304,-80.369132,2824.379397,7.827179,9.967456,146.685270,-6.755449,4.785110,-199.235915,1.396045,-0.988865,1.107243
0.900000,113.327747,-80.273820,2820.395130,7.789674,9.869320,146.718104,-6.727894,4.765591,-199.213326,1.377795,-0.975938,1.129441
0.920000,113.193733,-80.178894,2816.411325,7.749546,9.767553,146.750398,-6.700699,4.746328,-199.190296,1.359743,-0.963151,1.151505
0.940000,113.060255,-80.084348,2812.427988,7.707076,9.662578,146.782148,-6.673861,4.727318,-199.166827,1.341886,-0.950502,1.173435
0.960000,112.927308,-79.990176,2808.445130,7.662514,9.554772,146.813347,-6.647377,4.708558,-199.142923,1.324222,-0.937991,1.195234
0.980000,112.794883,-79.896375,2804.462758,7.616084,9.444475,146.843992,-6.621242,4.690046,-199.118585,1.306750,-0.925615,1.216900
1.000000,112.662974,-79.802940,2800.480882,7.567987,9.331994,146.874078,-6.595452,4.671779,-199.093816,1.289469,-0.913374,1.238436
1.020000,112.531574,-79.709865,2796.499509,7.518399,9.217605,146.903599,-6.570005,4.653753,-199.068619,1.272376,-0.901266,1.259842
1.040000,112.400676,-79.617145,2792.518649,7.467481,9.101554,146.932552,-6.544895,4.635967,-199.042997,1.255470,-0.889291,1.281117
1.060000,112.270274,-79.524777,2788.538310,7.415373,8.984066,146.960931,-6.520120,4.618419,-199.016951,1.238748,-0.877447,1.302265
1.080000,112.140360,-79.432755,2784.558500,7.362202,8.865341,146.988732,-6.495676,4.601104,-198.990486,1.222210,-0.865732,1.323284
1.100000,112.010929,-79.341075,2780.579228,7.308080,8.745560,147.015949,-6.471559,4.584021,-198.963602,1.205854,-0.854146,1.344175
1.120000,111.881974,-79.249731,2776.600502,7.253105,8.624887,147.042580,-6.447765,4.567167,-198.936303,1.189677,-0.842688,1.364940
