time,x,y,z,roll,pitch,yaw,vx,vy,vz,ax,ay,az
0.8600,42.1976,-21.0988,2827.2737,0.000000,0.023264,-0.007755,-8.7957,4.3978,-201.8698,0.6601,-0.3301,-2.3381
0.8800,42.0220,-21.0110,2823.2353,0.000000,0.023186,-0.007729,-8.7825,4.3912,-201.9166,0.6602,-0.3301,-2.3311
0.9000,41.8466,-20.9233,2819.1961,0.000000,0.023110,-0.007703,-8.7693,4.3846,-201.9632,0.6602,-0.3301,-2.3242
0.9200,41.6715,-20.8357,2815.1559,0.000000,0.023033,-0.007678,-8.7561,4.3780,-202.0097,0.6603,-0.3301,-2.3172
0.9400,41.4966,-20.7483,2811.1148,0.000000,0.022957,-0.007652,-8.7429,4.3714,-202.0561,0.6603,-0.3302,-2.3102
0.9600,41.3220,-20.6610,2807.0727,0.000000,0.022880,-0.007627,-8.7297,4.3648,-202.1023,0.6604,-0.3302,-2.3032
0.9800,41.1477,-20.5738,2803.0298,0.000000,0.022804,-0.007601,-8.7165,4.3582,-202.1483,0.6604,-0.3302,-2.2963
1.0000,40.9736,-20.4868,2798.9859,0.000000,0.022729,-0.007576,-8.7032,4.3516,-202.1942,0.6604,-0.3302,-2.2893
1.0200,40.7998,-20.3999,2794.9411,0.000000,0.022653,-0.007551,-8.6900,4.3450,-202.2400,0.6605,-0.3302,-2.2824
1.0400,40.6263,-20.3131,2790.8954,0.000000,0.022578,-0.007526,-8.6768,4.3384,-202.2857,0.6605,-0.3303,-2.2754
1.0600,40.4530,-20.2265,2786.8487,0.000000,0.022503,-0.007501,-8.6636,4.3318,-202.3312,0.6606,-0.3303,-2.2684
1.0800,40.2800,-20.1400,2782.8012,0.000000,0.022428,-0.007476,-8.6504,4.3252,-202.3766,0.6606,-0.3303,-2.2615
1.1000,40.1072,-20.0536,2778.7528,0.000000,0.022354,-0.007451,-8.6372,4.3186,-202.4218,0.6607,-0.3303,-2.2546
1.1200,39.9348,-19.9674,2774.7034,0.000000,0.022279,-0.007426,-8.6240,4.3120,-202.4669,0.6607,-0.3303,-2.2476
1.1400,39.7626,-19.8813,2770.6532,0.000000,0.022205,-0.007402,-8.6108,4.3054,-202.5118,0.6607,-0.3304,-2.2407
1.1600,39.5906,-19.7953,2766.6021,0.000000,0.022131,-0.007377,-8.5976,4.2988,-202.5566,0.6608,-0.3304,-2.2338
1.1800,39.4189,-19.7095,2762.5500,0.000000,0.022058,-0.007353,-8.5843,4.2922,-202.6013,0.6608,-0.3304,-2.2268
1.2000,39.2475,-19.6237,2758.4971,0.000000,0.021984,-0.007328,-8.5711,4.2856,-202.6459,0.6608,-0.3304,-2.2199
1.2200,39.0763,-19.5382,2754.4433,0.000000,0.021911,-0.007304,-8.5579,4.2790,-202.6903,0.6609,-0.3304,-2.2130
1.2400,38.9054,-19.4527,2750.3886,0.000000,0.021838,-0.007279,-8.5447,4.2723,-202.7345,0.6609,-0.3305,-2.2061
1.2600,38.7348,-19.3674,2746.3330,0.000000,0.021766,-0.007255,-8.5315,4.2657,-202.7786,0.6610,-0.3305,-2.1992
1.2800,38.5644,-19.2822,2742.2766,0.000000,0.021693,-0.007231,-8.5182,4.2591,-202.8226,0.6610,-0.3305,-2.1923
