epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,527.469,0.16455,0.11172,0.01645,0.15494,0.76576,0.99995,1,0.995,0.96899,0.99995,1,0.995,0.99264,0.19682,0.25863,0.00845,0.17183,0.75917,0.0007228,0.0007228,0.0007228
30,541.917,0.17624,0.11348,0.01653,0.16161,0.77278,0.99995,1,0.995,0.9768,0.99995,1,0.995,0.98603,0.18155,0.29929,0.00856,0.17833,0.75916,0.0007129,0.0007129,0.0007129
31,556.187,0.16489,0.11119,0.01603,0.15648,0.76435,0.99995,1,0.995,0.97621,0.99995,1,0.995,0.99495,0.1927,0.24209,0.00884,0.16238,0.75839,0.000703,0.000703,0.000703
32,570.373,0.15912,0.10674,0.01573,0.1515,0.7707,0.99995,1,0.995,0.98651,0.99995,1,0.995,0.995,0.1639,0.25118,0.00848,0.15075,0.75683,0.0006931,0.0006931,0.0006931
33,584.777,0.15128,0.09312,0.01591,0.14476,0.7693,0.99995,1,0.995,0.98488,0.99995,1,0.995,0.99494,0.15791,0.22382,0.00783,0.14364,0.75757,0.0006832,0.0006832,0.0006832
34,598.994,0.15596,0.09086,0.01571,0.14625,0.7697,0.99995,1,0.995,0.98958,0.99995,1,0.995,0.99492,0.14524,0.22943,0.00792,0.13305,0.75809,0.0006733,0.0006733,0.0006733
35,613.366,0.14378,0.10061,0.01586,0.14509,0.76988,0.99995,1,0.995,0.97996,0.99995,1,0.995,0.99478,0.16147,0.23159,0.0081,0.13554,0.75593,0.0006634,0.0006634,0.0006634
36,627.434,0.1432,0.09984,0.01655,0.13955,0.76727,0.99995,1,0.995,0.98216,0.99995,1,0.995,0.99498,0.14901,0.21693,0.00796,0.13494,0.75554,0.0006535,0.0006535,0.0006535
37,641.54,0.13256,0.0872,0.01452,0.13385,0.76703,0.99995,1,0.995,0.97779,0.99995,1,0.995,0.99438,0.15927,0.22767,0.00734,0.14436,0.75658,0.0006436,0.0006436,0.0006436
38,655.737,0.14432,0.09005,0.01474,0.14628,0.77009,0.99995,1,0.995,0.98128,0.99995,1,0.995,0.992,0.15452,0.25028,0.00771,0.14493,0.75709,0.0006337,0.0006337,0.0006337
39,669.929,0.14189,0.08049,0.01556,0.14528,0.76332,0.99995,1,0.995,0.99074,0.99995,1,0.995,0.995,0.14148,0.21381,0.00712,0.13924,0.75704,0.0006238,0.0006238,0.0006238
40,684.448,0.14036,0.08937,0.01308,0.14121,0.76416,0.99995,1,0.995,0.98608,0.99995,1,0.995,0.995,0.14427,0.20656,0.00676,0.13162,0.75758,0.0006139,0.0006139,0.0006139
41,703.138,0.13495,0.08337,0.01475,0.13708,0.76978,0.99995,1,0.995,0.98745,0.99995,1,0.995,0.995,0.1365,0.20009,0.00642,0.13044,0.75634,0.000604,0.000604,0.000604
42,723.665,0.12793,0.07667,0.01427,0.1318,0.76276,0.99995,1,0.995,0.98696,0.99995,1,0.995,0.995,0.14211,0.19731,0.00673,0.12829,0.75489,0.0005941,0.0005941,0.0005941
43,744.08,0.12746,0.08243,0.01442,0.1291,0.75953,0.99995,1,0.995,0.98543,0.99995,1,0.995,0.99432,0.13265,0.20272,0.00635,0.11955,0.75411,0.0005842,0.0005842,0.0005842
44,764.503,0.12302,0.08189,0.0139,0.12576,0.76392,0.99995,1,0.995,0.99137,0.99995,1,0.995,0.995,0.12338,0.19733,0.00659,0.11678,0.75368,0.0005743,0.0005743,0.0005743
45,784.601,0.12434,0.07235,0.01434,0.12589,0.76213,0.99995,1,0.995,0.988,0.99995,1,0.995,0.995,0.1261,0.22223,0.00671,0.11896,0.75498,0.0005644,0.0005644,0.0005644
46,805.257,0.12133,0.0773,0.01314,0.12165,0.76618,0.99995,1,0.995,0.98443,0.99995,1,0.995,0.995,0.13122,0.2018,0.0068,0.11853,0.75462,0.0005545,0.0005545,0.0005545
47,826.123,0.12024,0.08514,0.01418,0.11925,0.7657,0.99995,1,0.995,0.98682,0.99995,1,0.995,0.995,0.13555,0.20384,0.00656,0.11899,0.75469,0.0005446,0.0005446,0.0005446
48,846.634,0.11506,0.0734,0.01392,0.11715,0.76718,0.99995,1,0.995,0.99063,0.99995,1,0.995,0.995,0.12577,0.19919,0.00672,0.12268,0.75586,0.0005347,0.0005347,0.0005347
49,867.122,0.11865,0.08655,0.0134,0.12001,0.76381,0.99995,1,0.995,0.98562,0.99995,1,0.995,0.99499,0.12505,0.21458,0.00641,0.12084,0.75447,0.0005248,0.0005248,0.0005248
50,887.803,0.12065,0.07955,0.01424,0.124,0.7602,0.99995,1,0.995,0.98903,0.99995,1,0.995,0.99498,0.11674,0.20011,0.00599,0.1143,0.75336,0.0005149,0.0005149,0.0005149
51,908.196,0.11957,0.08555,0.01416,0.11848,0.76124,0.99995,1,0.995,0.99185,0.99995,1,0.995,0.995,0.10416,0.19544,0.00631,0.11143,0.75458,0.000505,0.000505,0.000505
52,929.178,0.12374,0.0806,0.01488,0.12124,0.76566,0.99995,1,0.995,0.99078,0.99995,1,0.995,0.995,0.11345,0.15096,0.00645,0.10826,0.7529,0.0004951,0.0004951,0.0004951
